id,userId,persons,place_type,bathrooms,bedrooms,beds,city,neighborhood,isSuperhost,rareFind,latitude,longitude,reviewsCount,rating,type,address,cancelPolicy,Air conditioning,Kitchen,Wifi,Self check-in,PricePerDay,currency,TotalPrice
1082522178033800000,559837367,4,Other,1,1,1,Riyadh,Al Murabba,True,False,24.6699603,46.7227461,13,5.0,Entire serviced apartment,"Riyadh, Riyadh Province, Saudi Arabia",CANCEL_FLEXIBLE,1,1,1,1,262,SAR,3929
1203743698803950000,545737008,1,Room,2,1,1,Riyadh,Al Murabba,False,False,24.65920382,46.73373809,4,5.0,Private room in rental unit,"Riyadh, Riyadh Province, Saudi Arabia",CANCEL_MODERATE,1,1,1,0,169,SAR,2523
1063278614922060000,550223308,2,Studio,1,1,0,Riyadh,As Sahafah,True,False,24.80055635,46.64320908,25,5.0,Entire rental unit,"Riyadh, Riyadh Province, Saudi Arabia",CANCEL_FLEXIBLE,1,1,1,1,245,SAR,3662
1169460310350140000,411678123,2,Apartment,1,1,1,Riyadh,Al Malqa,True,False,24.79395559,46.61969228,8,5.0,Entire rental unit,"Riyadh, Riyadh Province, Saudi Arabia",CANCEL_MODERATE,1,1,1,1,281,SAR,4207
1218944670444680000,509191449,6,Apartment,1,1,1,Riyadh,Al Hamra,False,False,24.8092043,46.79699086,6,5.0,Entire rental unit,"Riyadh, Riyadh Province, Saudi Arabia",CANCEL_FLEXIBLE,1,1,1,1,314,SAR,4699
820994494652342000,430833417,2,Bedroom,1,1,1,Riyadh,As Sahafah,False,False,24.80663,46.59999,71,4.96,Entire rental unit,"Riyadh, Riyadh Province, Saudi Arabia",CANCEL_MODERATE,1,0,1,1,179,SAR,2681
878899151918617000,506084654,3,Studio,1,1,1,Riyadh,As Sahafah,False,False,24.80125,46.60426,44,4.68,Entire rental unit,"Riyadh, Riyadh Province, Saudi Arabia",CANCEL_FLEXIBLE,1,1,1,1,169,SAR,2531
671129617951739000,469518039,4,Studio,1,0,1,Riyadh,Al Nafel,False,False,24.79912405,46.67503886,4,5.0,Entire rental unit,"Riyadh, Riyadh Province, Saudi Arabia",CANCEL_STRICT_14_WITH_GRACE_PERIOD,1,1,1,0,236,SAR,3538
792078507402919000,457114904,2,Suite,1,1,1,Riyadh,Al Rawdah,True,False,24.76449,46.73123,128,4.92,Entire rental unit,"Riyadh, Riyadh Province, Saudi Arabia",CANCEL_FLEXIBLE,1,1,1,0,247,SAR,3691
1009219918841370000,176283430,4,Apartment,1,2,3,Riyadh,Qurtubah,False,False,24.82090778,46.72889259,11,5.0,Entire rental unit,"Riyadh, Riyadh Province, Saudi Arabia",CANCEL_FLEXIBLE,1,1,1,1,464,SAR,6950
1079769690527640000,312154751,2,Studio,1,1,1,Riyadh,Al Ghadeer,True,False,24.77060789,46.63111098,19,5.0,Entire condo,"Riyadh, Riyadh Province, Saudi Arabia",CANCEL_FLEXIBLE,1,0,1,1,184,SAR,2199
1155547142157220000,498129881,1,Room,1,1,0,Riyadh,Al Ghadeer,True,False,24.76727,46.63047,9,5.0,Entire rental unit,"Riyadh, Riyadh Province, Saudi Arabia",CANCEL_FLEXIBLE,1,0,0,0,106,SAR,1261
552791275858998000,400383362,3,Studio,1,1,0,Riyadh,As Sahafah,False,False,24.82403693,46.60185043,37,4.89,Entire condo,"Riyadh, Riyadh Province, Saudi Arabia",CANCEL_FLEXIBLE,1,1,1,1,218,SAR,2609
1184972187465680000,522134619,2,Other,1,1,1,Riyadh,As Sahafah,True,False,24.88163299,46.62508501,10,5.0,Entire rental unit,"Riyadh, Riyadh Province, Saudi Arabia",CANCEL_FLEXIBLE,1,0,1,1,168,SAR,2008
1200038827018230000,440606327,6,Apartment,1,1,1,Riyadh,Al Ghadeer,False,False,24.779788,46.622942,12,4.92,Entire rental unit,"Riyadh, Riyadh Province, Saudi Arabia",CANCEL_FLEXIBLE,1,1,1,0,276,SAR,3311
972266376019621000,532343366,2,Studio,1,1,1,Riyadh,Al Nafel,True,False,24.78866432,46.67045816,64,4.98,Entire serviced apartment,"Riyadh, Riyadh Province, Saudi Arabia",CANCEL_MODERATE,1,1,1,1,380,SAR,4560
1197108677939350000,469704679,2,Studio,1,1,1,Riyadh,Al Nafel,False,False,24.76893,46.67417,11,4.91,Entire rental unit,"Riyadh, Riyadh Province, Saudi Arabia",CANCEL_FLEXIBLE,1,0,1,1,209,SAR,2496
1067566052887350000,434487366,2,Studio,1,1,0,Riyadh,As Sahafah,False,False,24.80757986,46.59004169,8,4.88,Entire rental unit,"Riyadh, Riyadh Province, Saudi Arabia",CANCEL_FLEXIBLE,1,1,1,1,145,SAR,1734
1105030447082770000,565327311,4,Studio,1,1,2,Riyadh,As Sahafah,True,False,24.8139669,46.6102146,41,4.9,Entire rental unit,"Riyadh, Riyadh Province, Saudi Arabia",CANCEL_FLEXIBLE,1,1,1,1,217,SAR,2598
1169669991041660000,578679470,3,Apartment,1,1,1,Riyadh,As Sahafah,False,False,24.83337529,46.64543856,12,5.0,Entire rental unit,"Riyadh, Riyadh Province, Saudi Arabia",CANCEL_FLEXIBLE,1,1,1,1,318,SAR,3811
1192802741009840000,518794691,2,Studio,1,1,1,Riyadh,As Sahafah,False,False,24.81382667,46.63099816,16,4.94,Entire rental unit,"Riyadh, Riyadh Province, Saudi Arabia",CANCEL_FLEXIBLE,1,1,1,1,246,SAR,2945
1161623903187900000,454467060,2,Studio,1,1,0,Riyadh,As Sahafah,False,False,24.82083344,46.62853105,8,5.0,Private room in rental unit,"Riyadh, Riyadh Province, Saudi Arabia",CANCEL_FLEXIBLE,1,0,1,0,176,SAR,2108
1132375071501470000,462074338,4,Apartment,1,1,1,Riyadh,Al Ghadeer,True,False,24.77595657,46.62829617,3,5.0,Entire rental unit,"Riyadh, Riyadh Province, Saudi Arabia",CANCEL_FLEXIBLE,1,0,1,0,191,SAR,2285
1185090968523180000,522134619,2,Other,1,1,1,Riyadh,As Sahafah,True,False,24.88018145,46.6237049,4,5.0,Entire rental unit,"Riyadh, Riyadh Province, Saudi Arabia",CANCEL_FLEXIBLE,1,0,1,1,168,SAR,2008
1089246006926320000,75661288,2,Studio,1,1,1,Riyadh,Al Olaya,False,False,24.70843937,46.67208349,3,5.0,Entire rental unit,"Riyadh, Riyadh Province, Saudi Arabia",CANCEL_FLEXIBLE,1,1,1,1,162,SAR,1934
1098636157843720000,484199104,2,Apartment,1,1,1,Riyadh,Hittin,True,False,24.76945137,46.609254,23,5.0,Entire rental unit,"Riyadh, Riyadh Province, Saudi Arabia",CANCEL_FLEXIBLE,1,1,1,1,341,SAR,4082
1179015748367190000,497723396,2,Studio,1,1,1,Riyadh,Al Izdihar,False,False,24.7656043,46.70717578,24,4.88,Entire rental unit,"Riyadh, Riyadh Province, Saudi Arabia",CANCEL_FLEXIBLE,1,0,1,1,163,SAR,1955
1122995387128120000,380928684,4,Apartment,1,1,0,Riyadh,Al Manar,True,False,24.69446015,46.81457945,3,5.0,Entire rental unit,"Riyadh, Riyadh Province, Saudi Arabia",CANCEL_FLEXIBLE,1,1,1,0,124,SAR,1479
1185003714353040000,522134619,2,Other,1,1,1,Riyadh,As Sahafah,True,False,24.88001234,46.62360741,15,5.0,Entire rental unit,"Riyadh, Riyadh Province, Saudi Arabia",CANCEL_FLEXIBLE,1,0,1,1,168,SAR,2008
1184986386507070000,522134619,2,Other,1,1,1,Riyadh,As Sahafah,True,False,24.88197288,46.62556204,14,4.93,Entire rental unit,"Riyadh, Riyadh Province, Saudi Arabia",CANCEL_FLEXIBLE,1,0,1,1,202,SAR,2419
1093553578156450000,409564541,2,Studio,1,1,2,Riyadh,Al Ghadeer,True,False,24.77636206,46.62720367,24,4.96,Entire rental unit,"Riyadh, Riyadh Province, Saudi Arabia",CANCEL_STRICT_14_WITH_GRACE_PERIOD,1,0,1,1,174,SAR,2088
1050855099500520000,551423215,2,Other,1,1,1,Riyadh,Hittin,True,False,24.77046236,46.61153354,17,5.0,Entire rental unit,"Riyadh, Riyadh Province, Saudi Arabia",CANCEL_FLEXIBLE,1,0,1,1,170,SAR,2039
1203743698803950000,545737008,1,Room,2,1,1,Riyadh,Al Murabba,False,False,24.65920382,46.73373809,4,5.0,Private room in rental unit,"Riyadh, Riyadh Province, Saudi Arabia",CANCEL_MODERATE,1,1,1,0,169,SAR,2018
